Date,Nombre de personnes guéries,Nombre d'infections actives
16/03/2020,0,88
17/03/2020,0,195
18/03/2020,0,344
19/03/2020,0,479
20/03/2020,0,645
21/03/2020,0,763
22/03/2020,0,784
23/03/2020,0,1003
24/03/2020,0,1176
25/03/2020,3,1320
26/03/2020,4,1520
27/03/2020,15,1657
28/03/2020,37,1729
29/03/2020,54,1741
30/03/2020,54,1877
31/03/2020,83,1930
01/04/2020,172,1959
02/04/2020,307,1932
03/04/2020,433,1892
04/04/2020,588,1791
05/04/2020,699,1709
06/04/2020,713,1752
07/04/2020,901,1620
08/04/2020,1057,1525
09/04/2020,1191,1445
10/04/2020,1364,1302
11/04/2020,1501,1168
12/04/2020,1591,1086
13/04/2020,1618,1059
14/04/2020,1748,985
15/04/2020,1836,930
16/04/2020,1947,841
17/04/2020,2047,785
18/04/2020,2135,709
19/04/2020,2196,650
20/04/2020,2233,625
21/04/2020,2297,583
22/04/2020,2352,536
23/04/2020,2415,486
24/04/2020,2467,450
25/04/2020,2512,414
26/04/2020,2523,408
27/04/2020,2534,405
28/04/2020,2546,410
29/04/2020,2610,355
30/04/2020,2646,329
01/05/2020,2677,304
02/05/2020,2725,257
03/05/2020,2745,241
04/05/2020,2747,248
05/05/2020,2772,231
06/05/2020,2800,207
07/05/2020,2811,201
08/05/2020,2833,181
09/05/2020,2856,166
10/05/2020,2870,153
11/05/2020,2877,149
12/05/2020,2893,139
13/05/2020,2914,127
14/05/2020,2924,119
15/05/2020,2938,109
16/05/2020,2946,110
17/05/2020,2950,107
18/05/2020,2953,114
19/05/2020,2968,106
20/05/2020,2977,104
21/05/2020,2982,99
22/05/2020,2988,102
23/05/2020,2995,96
24/05/2020,3004,88
25/05/2020,3006,88
26/05/2020,3009,89
27/05/2020,3016,83
28/05/2020,3025,77
29/05/2020,3029,76
30/05/2020,3035,72
31/05/2020,3045,62
01/06/2020,3047,61
02/06/2020,3061,49
03/06/2020,3069,43
04/06/2020,3081,35
05/06/2020,3081,36
06/06/2020,3091,28
07/06/2020,3093,27
08/06/2020,3094,30
09/06/2020,3097,30
10/06/2020,3102,29
11/06/2020,3104,28
12/06/2020,3107,27
13/06/2020,3112,30
14/06/2020,3114,30
15/06/2020,3114,35
16/06/2020,3116,40
17/06/2020,3119,38
18/06/2020,3121,42
19/06/2020,3127,45
20/06/2020,3130,55
21/06/2020,3131,54
22/06/2020,3131,66
23/06/2020,3135,64
24/06/2020,3138,74
25/06/2020,3145,86
26/06/2020,3147,125
27/06/2020,3152,150
28/06/2020,3160,152
29/06/2020,3162,194
30/06/2020,3166,214
01/07/2020,3172,259
02/07/2020,3175,299
03/07/2020,3182,320
04/07/2020,3192,359
05/07/2020,3205,358
06/07/2020,3205,406
07/07/2020,3218,445
08/07/2020,3220,494
09/07/2020,3233,516
10/07/2020,3252,552
11/07/2020,3292,589
12/07/2020,3322,587
13/07/2020,3331,671
14/07/2020,3374,680
15/07/2020,3397,791
16/07/2020,3448,846
17/07/2020,3491,876
18/07/2020,3517,947
19/07/2020,3563,928
20/07/2020,3575,987
21/07/2020,3617,1058
22/07/2020,3669,1082
23/07/2020,3718,1118
24/07/2020,3748,1209
25/07/2020,3800,1232
26/07/2020,3874,1198
27/07/2020,3901,1203
28/07/2020,3994,1247
29/07/2020,4046,1262
30/07/2020,4179,1197
31/07/2020,4282,1169
01/08/2020,4349,1149
02/08/2020,4442,1062
03/08/2020,4471,1082
04/08/2020,4545,1087
05/08/2020,4656,1029
06/08/2020,4732,986
07/08/2020,4812,951
08/08/2020,4928,863
09/08/2020,4998,799
10/08/2020,5042,779
11/08/2020,5077,788
12/08/2020,5213,707
13/08/2020,5283,670
14/08/2020,5350,628
15/08/2020,5429,564
16/08/2020,5477,522
17/08/2020,5488,534
18/08/2020,5544,536
19/08/2020,5620,514
20/08/2020,5674,519
21/08/2020,5704,539
22/08/2020,5757,505
23/08/2020,5786,485
24/08/2020,5790,509
25/08/2020,5815,560
26/08/2020,5857,569
27/08/2020,5912,551
28/08/2020,5944,564
29/08/2020,5969,587
30/08/2020,5986,574
31/08/2020,5992,592
01/09/2020,6017,615
02/09/2020,6076,616
03/09/2020,6128,607
04/09/2020,6187,590
05/09/2020,6238,593
06/09/2020,6258,583
07/09/2020,6268,587
08/09/2020,6294,609
09/09/2020,6369,599
10/09/2020,6423,614
11/09/2020,6465,607
12/09/2020,6509,607
13/09/2020,6557,565
14/09/2020,6562,600
15/09/2020,6594,678
16/09/2020,6642,776
17/09/2020,6704,891
18/09/2020,6747,933
19/09/2020,6790,993
20/09/2020,6840,953
21/09/2020,6849,1044
22/09/2020,6863,1104
23/09/2020,6911,1123
24/09/2020,6977,1133
25/09/2020,7047,1146
26/09/2020,7084,1155
27/09/2020,7130,1123
28/09/2020,7137,1171
29/09/2020,7175,1211
30/09/2020,7281,1191
01/10/2020,7429,1166
02/10/2020,7607,1075
03/10/2020,7692,1083
04/10/2020,7794,1006
05/10/2020,7805,1048
06/10/2020,7903,1093
07/10/2020,7976,1116
08/10/2020,8041,1189
09/10/2020,8111,1272
10/10/2020,8196,1394
11/10/2020,8237,1362
12/10/2020,8251,1457
13/10/2020,8309,1589
14/10/2020,8387,1725
15/10/2020,8471,1868
16/10/2020,8594,1931
17/10/2020,8681,2086
18/10/2020,8768,2109
19/10/2020,8793,2327
20/10/2020,8849,2751
21/10/2020,8991,3204
22/10/2020,9085,3625
